time_slot,Bus-01_kw,Bus-02_kw,Bus-03_kw,Bus-04_kw,Staff-01_kw,Staff-02_kw,ev_total_kw,building_load_kw,contract_limit_kw,site_total_kw,tou_price_per_kwh,Bus-01_soc,Bus-02_soc,Bus-03_soc,Bus-04_soc,Staff-01_soc,Staff-02_soc
0,34.61603047383268,0.0,0.0,0.0,0.0,0.0,34.61603047383268,140.0,400.0,174.61603047383267,0.06,0.42596202285537454,0.55,0.3,0.2,0.5,0.35
1,34.61603047383268,0.0,0.0,0.0,0.0,0.0,34.61603047383268,140.0,400.0,174.61603047383267,0.06,0.45192404571074907,0.55,0.3,0.2,0.5,0.35
2,34.61603047383268,0.0,0.0,0.0,0.0,0.0,34.61603047383268,140.0,400.0,174.61603047383267,0.06,0.4778860685661236,0.55,0.3,0.2,0.5,0.35
3,34.61603047383268,0.0,0.0,0.0,0.0,0.0,34.61603047383268,140.0,400.0,174.61603047383267,0.06,0.5038480914214981,0.55,0.3,0.2,0.5,0.35
4,18.09561305864525,16.52041741519418,0.0,0.0,0.0,0.0,34.61603047383943,140.0,400.0,174.61603047383943,0.06,0.517419801215482,0.5623903130613956,0.3,0.2,0.5,0.35
5,18.09561305864525,16.52041741519418,0.0,0.0,0.0,0.0,34.61603047383943,140.0,400.0,174.61603047383943,0.06,0.530991511009466,0.5747806261227913,0.3,0.2,0.5,0.35
6,18.09561305864525,16.52041741519418,0.0,0.0,0.0,0.0,34.61603047383943,140.0,400.0,174.61603047383943,0.06,0.5445632208034499,0.587170939184187,0.3,0.2,0.5,0.35
7,18.09561305864525,16.52041741519418,0.0,0.0,0.0,0.0,34.61603047383943,140.0,400.0,174.61603047383943,0.06,0.5581349305974339,0.5995612522455825,0.3,0.2,0.5,0.35
8,18.09561305864525,16.52041741519418,0.0,0.0,0.0,0.0,34.61603047383943,140.0,400.0,174.61603047383943,0.06,0.5717066403914178,0.6119515653069783,0.3,0.2,0.5,0.35
9,18.09561305864525,16.52041741519418,0.0,0.0,0.0,0.0,34.61603047383943,140.0,400.0,174.61603047383943,0.06,0.5852783501854018,0.6243418783683738,0.3,0.2,0.5,0.35
10,18.09561305864525,16.52041741519418,0.0,0.0,0.0,0.0,34.61603047383943,140.0,400.0,174.61603047383943,0.06,0.5988500599793857,0.6367321914297694,0.3,0.2,0.5,0.35
11,18.09561305864525,16.52041741519418,0.0,0.0,0.0,0.0,34.61603047383943,140.0,400.0,174.61603047383943,0.06,0.6124217697733696,0.6491225044911652,0.3,0.2,0.5,0.35
12,18.09561305864525,16.52041741519418,0.0,0.0,0.0,0.0,34.61603047383943,140.0,400.0,174.61603047383943,0.06,0.6259934795673536,0.6615128175525608,0.3,0.2,0.5,0.35
13,18.09561305864525,16.52041741519418,0.0,0.0,0.0,0.0,34.61603047383943,140.0,400.0,174.61603047383943,0.06,0.6395651893613375,0.6739031306139565,0.3,0.2,0.5,0.35
14,18.09561305864525,16.52041741519418,0.0,0.0,0.0,0.0,34.61603047383943,140.0,400.0,174.61603047383943,0.06,0.6531368991553215,0.686293443675352,0.3,0.2,0.5,0.35
15,18.09561305864525,16.52041741519418,0.0,0.0,0.0,0.0,34.61603047383943,140.0,400.0,174.61603047383943,0.06,0.6667086089493054,0.6986837567367477,0.3,0.2,0.5,0.35
16,12.974166338195882,11.893648990965799,9.748215144679797,0.0,0.0,0.0,34.61603047384148,140.0,400.0,174.61603047384148,0.06,0.6764392337029523,0.707603993479972,0.3070065296352386,0.2,0.5,0.35
17,12.974166338195882,11.893648990965799,9.748215144679797,0.0,0.0,0.0,34.61603047384148,140.0,400.0,174.61603047384148,0.06,0.6861698584565992,0.7165242302231963,0.3140130592704772,0.2,0.5,0.35
18,12.974166338195882,11.893648990965799,9.748215144679797,0.0,0.0,0.0,34.61603047384148,140.0,400.0,174.61603047384148,0.06,0.695900483210246,0.7254444669664207,0.3210195889057158,0.2,0.5,0.35
19,12.974166338195882,11.893648990965799,9.748215144679797,0.0,0.0,0.0,34.61603047384148,140.0,400.0,174.61603047384148,0.06,0.705631107963893,0.734364703709645,0.3280261185409544,0.2,0.5,0.35
20,12.974166338195882,11.893648990965799,9.748215144679797,0.0,0.0,0.0,34.61603047384148,140.0,400.0,174.61603047384148,0.06,0.7153617327175399,0.7432849404528694,0.335032648176193,0.2,0.5,0.35
21,12.974166338195882,11.893648990965799,9.748215144679797,0.0,0.0,0.0,34.61603047384148,140.0,400.0,174.61603047384148,0.06,0.7250923574711867,0.7522051771960937,0.3420391778114316,0.2,0.5,0.35
