time_slot,Bus-01_kw,Bus-02_kw,Bus-03_kw,Bus-04_kw,Staff-01_kw,Staff-02_kw,ev_total_kw,building_load_kw,contract_limit_kw,site_total_kw,tou_price_per_kwh,Bus-01_soc,Bus-02_soc,Bus-03_soc,Bus-04_soc,Staff-01_soc,Staff-02_soc
0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,140.0,400.0,190.0,0.06,0.4375,0.55,0.3,0.2,0.5,0.35
1,50.0,0.0,0.0,0.0,0.0,0.0,50.0,140.0,400.0,190.0,0.06,0.47500000000000003,0.55,0.3,0.2,0.5,0.35
2,50.0,0.0,0.0,0.0,0.0,0.0,50.0,140.0,400.0,190.0,0.06,0.5125,0.55,0.3,0.2,0.5,0.35
3,50.0,0.0,0.0,0.0,0.0,0.0,50.0,140.0,400.0,190.0,0.06,0.55,0.55,0.3,0.2,0.5,0.35
4,50.0,50.0,0.0,0.0,0.0,0.0,100.0,140.0,400.0,240.0,0.06,0.5875,0.5875,0.3,0.2,0.5,0.35
5,50.0,50.0,0.0,0.0,0.0,0.0,100.0,140.0,400.0,240.0,0.06,0.625,0.625,0.3,0.2,0.5,0.35
6,50.0,50.0,0.0,0.0,0.0,0.0,100.0,140.0,400.0,240.0,0.06,0.6625000000000001,0.6625000000000001,0.3,0.2,0.5,0.35
7,50.0,50.0,0.0,0.0,0.0,0.0,100.0,140.0,400.0,240.0,0.06,0.7,0.7000000000000001,0.3,0.2,0.5,0.35
8,50.0,50.0,0.0,0.0,0.0,0.0,100.0,140.0,400.0,240.0,0.06,0.7375,0.7375,0.3,0.2,0.5,0.35
9,50.0,50.0,0.0,0.0,0.0,0.0,100.0,140.0,400.0,240.0,0.06,0.7749999999999999,0.775,0.3,0.2,0.5,0.35
10,50.0,50.0,0.0,0.0,0.0,0.0,100.0,140.0,400.0,240.0,0.06,0.8125,0.8125,0.3,0.2,0.5,0.35
11,50.0,50.0,0.0,0.0,0.0,0.0,100.0,140.0,400.0,240.0,0.06,0.8499999999999999,0.8500000000000001,0.3,0.2,0.5,0.35
12,0.0,50.0,0.0,0.0,0.0,0.0,50.0,140.0,400.0,190.0,0.06,0.8499999999999999,0.8875,0.3,0.2,0.5,0.35
13,0.0,16.666666666666902,0.0,0.0,0.0,0.0,16.666666666666902,140.0,400.0,156.6666666666669,0.06,0.8499999999999999,0.9000000000000001,0.3,0.2,0.5,0.35
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,400.0,140.0,0.06,0.8499999999999999,0.9000000000000001,0.3,0.2,0.5,0.35
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,400.0,140.0,0.06,0.8499999999999999,0.9000000000000001,0.3,0.2,0.5,0.35
16,0.0,0.0,35.0,0.0,0.0,0.0,35.0,140.0,400.0,175.0,0.06,0.8499999999999999,0.9000000000000001,0.32515625,0.2,0.5,0.35
17,0.0,0.0,35.0,0.0,0.0,0.0,35.0,140.0,400.0,175.0,0.06,0.8499999999999999,0.9000000000000001,0.35031249999999997,0.2,0.5,0.35
18,0.0,0.0,35.0,0.0,0.0,0.0,35.0,140.0,400.0,175.0,0.06,0.8499999999999999,0.9000000000000001,0.37546875,0.2,0.5,0.35
19,0.0,0.0,35.0,0.0,0.0,0.0,35.0,140.0,400.0,175.0,0.06,0.8499999999999999,0.9000000000000001,0.400625,0.2,0.5,0.35
20,0.0,0.0,35.0,0.0,0.0,0.0,35.0,140.0,400.0,175.0,0.06,0.8499999999999999,0.9000000000000001,0.42578125,0.2,0.5,0.35
21,0.0,0.0,35.0,0.0,0.0,0.0,35.0,140.0,400.0,175.0,0.06,0.8499999999999999,0.9000000000000001,0.4509375,0.2,0.5,0.35
22,0.0,0.0,35.0,0.0,0.0,0.0,35.0,140.0,400.0,175.0,0.06,0.8499999999999999,0.9000000000000001,0.47609375,0.2,0.5,0.35
23,0.0,0.0,35.0,0.0,0.0,0.0,35.0,140.0,400.0,175.0,0.06,0.8499999999999999,0.9000000000000001,0.50125,0.2,0.5,0.35
24,0.0,0.0,35.0,22.0,0.0,0.0,57.0,140.0,400.0,197.0,0.06,0.8499999999999999,0.9000000000000001,0.52640625,0.21767857142857144,0.5,0.35
25,0.0,0.0,35.0,22.0,0.0,0.0,57.0,140.0,400.0,197.0,0.06,0.8499999999999999,0.9000000000000001,0.5515625,0.23535714285714288,0.5,0.35
26,0.0,0.0,35.0,22.0,0.0,0.0,57.0,140.0,400.0,197.0,0.06,0.8499999999999999,0.9000000000000001,0.57671875,0.2530357142857143,0.5,0.35
27,0.0,0.0,35.0,22.0,0.0,0.0,57.0,140.0,400.0,197.0,0.06,0.8499999999999999,0.9000000000000001,0.6018749999999999,0.27071428571428574,0.5,0.35
28,0.0,0.0,35.0,22.0,11.0,0.0,68.0,300.0,400.0,368.0,0.1,0.8499999999999999,0.9000000000000001,0.6270312499999999,0.2883928571428572,0.5322666666666667,0.35
29,0.0,0.0,35.0,22.0,11.0,0.0,68.0,300.0,400.0,368.0,0.1,0.8499999999999999,0.9000000000000001,0.6521874999999999,0.3060714285714286,0.5645333333333333,0.35
30,0.0,0.0,35.0,22.0,11.0,0.0,68.0,300.0,400.0,368.0,0.1,0.8499999999999999,0.9000000000000001,0.6773437499999999,0.32375000000000004,0.5968,0.35
31,0.0,0.0,35.0,22.0,11.0,0.0,68.0,300.0,400.0,368.0,0.1,0.8499999999999999,0.9000000000000001,0.7024999999999999,0.3414285714285714,0.6290666666666667,0.35
32,0.0,0.0,35.0,22.0,11.0,11.0,79.0,210.0,400.0,289.0,0.1,0.8499999999999999,0.9000000000000001,0.7276562499999999,0.35910714285714285,0.6613333333333333,0.38226666666666664
33,0.0,0.0,35.0,22.0,11.0,11.0,79.0,210.0,400.0,289.0,0.1,0.8499999999999999,0.9000000000000001,0.7528124999999999,0.3767857142857143,0.6936,0.4145333333333333
34,0.0,0.0,35.0,22.0,11.0,11.0,79.0,210.0,400.0,289.0,0.1,0.8499999999999999,0.9000000000000001,0.7779687499999999,0.3944642857142857,0.7258666666666667,0.4468
